FlyQuest,FLY,Flame,1634,1566,76,94,AnDa,1477,1458,1,4,Fly,1568,1492,99,95,WildTurtle,1576,1547,182,193,Stunt,1548,1514,9,17
100 Thieves,100,ssumday,1565,1559,170,154,Meteos,1591,1599,127,115,Ryu,1594,1494,143,125,Cody Sun,1661,1536,58,58,Aphromoo,1581,1574,186,176
CLG,CLG,Darshan,1540,1570,185,175,Reignover,1575,1346,132,118,Huhi,1552,1585,125,113,Stixxay,1558,1585,124,112,Biofrost,1721,1666,93,104
Team SoloMid,TSM,Hauntzer,1715,1617,133,151,MikeYeung,1540,1408,29,30,Bjergsen,1703,1614,188,207,Zven,1629,1579,137,126,Mithy,1637,1587,141,129
Cloud 9,C9,Licorice,1533,1516,33,36,Svenskeren,1695,1653,182,183,Jensen,1612,1664,132,134,Sneaky,1616,1653,199,196,Smoothie,1629,1623,97,105
Optic Gaming,OpTic,Zig,1543,1427,78,84,Akaadian,1417,1424,43,40,PowerOfEvil,1585,1463,124,118,Arrow,1570,1472,169,162,LemonNation,1485,1504,150,131
Echo Fox,FOX,Huni,1717,1671,127,127,Dardoch,1573,1555,89,89,FeniX,1588,1513,85,88,Altec,1512,1593,98,93,Adrian,1600,1560,108,104
Team Liquid,TL,Impact,1623,1660,135,143,Xmithie,1625,1553,161,143,Pobelter,1623,1577,147,150,Doublelift,1703,1622,155,160,Olleh,1640,1547,72,75
Clutch Gaming,Clutch,Solo,1622,1421,37,51,Lira,1583,1362,115,125,Febiven,1608,1489,138,118,Apollo,1568,1359,135,141,Hakuho,1596,1361,86,96
Golden Guardians,GGS,Lourlo,1493,1336,103,95,Contractz,1579,1612,66,70,Hai,1455,1491,128,109,Deftly,1475,1452,34,35,Matt,1498,1370,98,90
