LG Dire Wolves,Chiefs Esports Club,20180331,5,1.43,N/a,2.70,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/lg-dire-wolves-league-of-legends-chiefs-esports-club-league-of-legends-l8TVZDWm/
ORDER,Legacy eSports,20180324,5,1.16,N/a,4.79,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/order-league-of-legends-legacy-esports-league-of-legends-bqdoPklP/
Avant Garde,Legacy eSports,20180323,5,2.22,N/a,1.62,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/avant-garde-league-of-legends-legacy-esports-league-of-legends-f7arGgA2/
Tectonic,Sin Gaming,20180318,3,3.34,N/a,1.30,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/tectonic-league-of-legends-sin-gaming-league-of-legends-QkfHz1W6/
Chiefs Esports Club,ORDER,20180318,3,1.80,N/a,1.94,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/chiefs-esports-club-league-of-legends-order-league-of-legends-8EaCysH0/
LG Dire Wolves,Avant Garde,20180317,3,1.08,N/a,7.14,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/lg-dire-wolves-league-of-legends-avant-garde-league-of-legends-UN08xN1f/
Legacy eSports,Bombers,20180317,3,1.15,N/a,4.92,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/legacy-esports-league-of-legends-bombers-league-of-legends-z114w3nl/
Chiefs Esports Club,Bombers,20180311,3,1.08,N/a,6.82,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/chiefs-esports-club-league-of-legends-bombers-league-of-legends-OQc0vqXs/
Tectonic,LG Dire Wolves,20180311,3,9.80,N/a,1.03,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/tectonic-league-of-legends-lg-dire-wolves-league-of-legends-IqLXrPOQ/
Avant Garde,Sin Gaming,20180310,3,1.09,N/a,6.73,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/avant-garde-league-of-legends-sin-gaming-league-of-legends-vgMTq59K/
ORDER,Legacy eSports,20180310,3,1.17,N/a,4.68,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/order-league-of-legends-legacy-esports-league-of-legends-AJHPpofE/
LG Dire Wolves,ORDER,20180304,3,1.88,N/a,1.85,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/lg-dire-wolves-league-of-legends-order-league-of-legends-WSILoRv8/
Chiefs Esports Club,Legacy eSports,20180304,3,1.29,N/a,3.40,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/chiefs-esports-club-league-of-legends-legacy-esports-league-of-legends-YisTp3v8/
Bombers,Sin Gaming,20180303,3,1.80,N/a,1.94,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/bombers-league-of-legends-sin-gaming-league-of-legends-KlwPoqP1/
Avant Garde,Tectonic,20180303,3,1.12,N/a,5.71,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/avant-garde-league-of-legends-tectonic-league-of-legends-QRwLnP9e/
Bombers,Tectonic,20180225,3,1.50,N/a,2.49,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/bombers-league-of-legends-tectonic-league-of-legends-nyuHm5fk/
Chiefs Esports Club,Sin Gaming,20180225,3,1.05,N/a,8.83,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/chiefs-esports-club-league-of-legends-sin-gaming-league-of-legends-6PNJlouq/
LG Dire Wolves,Legacy eSports,20180224,3,1.17,N/a,4.59,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/lg-dire-wolves-league-of-legends-legacy-esports-league-of-legends-4GyhgRWR/
ORDER,Avant Garde,20180224,3,1.25,N/a,3.74,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/order-league-of-legends-avant-garde-league-of-legends-Agxlf7HL/
ORDER,Sin Gaming,20180223,3,1.06,N/a,7.95,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/order-league-of-legends-sin-gaming-league-of-legends-djYqem2F/
Chiefs Esports Club,Tectonic,20180223,3,1.07,N/a,7.37,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/chiefs-esports-club-league-of-legends-tectonic-league-of-legends-ERrudTn9/
Legacy eSports,Tectonic,20180218,3,1.13,N/a,5.52,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/legacy-esports-league-of-legends-tectonic-league-of-legends-zypyc9X2/
LG Dire Wolves,Sin Gaming,20180218,3,1.03,N/a,10.61,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/lg-dire-wolves-league-of-legends-sin-gaming-league-of-legends-nLjgYPf2/
Avant Garde,Chiefs Esports Club,20180217,3,2.95,N/a,1.37,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/avant-garde-league-of-legends-chiefs-esports-club-league-of-legends-8UikZ5ud/
Bombers,ORDER,20180217,3,8.97,N/a,1.04,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/bombers-league-of-legends-order-league-of-legends-Q52pznQk/
Bombers,LG Dire Wolves,20180216,3,8.52,N/a,1.05,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/bombers-league-of-legends-lg-dire-wolves-league-of-legends-SKqsySAq/
Avant Garde,Legacy eSports,20180216,3,1.68,N/a,2.10,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/avant-garde-league-of-legends-legacy-esports-league-of-legends-AucFu82S/
ORDER,LG Dire Wolves,20180211,3,2.27,N/a,1.59,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/order-league-of-legends-lg-dire-wolves-league-of-legends-WlbBtlmM/
Sin Gaming,Bombers,20180211,3,2.48,N/a,1.50,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/sin-gaming-league-of-legends-bombers-league-of-legends-ED36sUXF/
Chiefs Esports Club,Legacy eSports,20180210,3,1.50,N/a,2.48,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/chiefs-esports-club-league-of-legends-legacy-esports-league-of-legends-zN42rAI9/
Avant Garde,Tectonic,20180210,3,1.14,N/a,5.13,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/avant-garde-league-of-legends-tectonic-league-of-legends-t05bqj33/
LG Dire Wolves,Bombers,20180204,3,1.05,N/a,8.52,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/lg-dire-wolves-league-of-legends-bombers-league-of-legends-Sd1fpWmc/
Avant Garde,Legacy eSports,20180204,3,6.73,N/a,1.09,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/avant-garde-league-of-legends-legacy-esports-league-of-legends-QiNBLnBd/
ORDER,Sin Gaming,20180203,3,1.12,N/a,5.71,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/order-league-of-legends-sin-gaming-league-of-legends-n1O7MSej/
Chiefs Esports Club,Tectonic,20180203,3,1.04,N/a,9.24,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/chiefs-esports-club-league-of-legends-tectonic-league-of-legends-vyP3N8tp/
Tectonic,Legacy eSports,20180128,3,6.76,N/a,1.08,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/tectonic-league-of-legends-legacy-esports-league-of-legends-2B1zuyCH/
LG Dire Wolves,Sin Gaming,20180128,3,1.10,N/a,6.15,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/lg-dire-wolves-league-of-legends-sin-gaming-league-of-legends-KnCVuHdB/
Chiefs Esports Club,Avant Garde,20180127,3,1.42,N/a,2.68,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/chiefs-esports-club-league-of-legends-avant-garde-league-of-legends-6q8Rtcs5/
